county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
dickenson county,virginia,"13,411",4.6,19.3,25.1,97.8,0.7,0.2,0.2,0,0.9,76.1,102700,2.24,0.8,84.9,10.1,8.7,47254,26181,42.7
danville city,virginia,"41,993",5.9,22.6,21.1,39.8,51,0.1,1.2,0,5.6,47.8,119100,2.13,4.9,87.1,19.6,9.9,44423,28824,995.2
cumberland county,virginia,"10,062",4.9,19.9,23.7,67.4,28.5,0.7,0.6,0,3.3,75.9,239300,2.44,2.5,86.4,20.9,7.2,55325,37339,32.5
culpeper county,virginia,"56,125",6.3,24.8,17.5,79.5,13.7,1,2,0.2,17.1,75,409200,2.79,14.8,87.8,27.3,9.5,100049,42359,138.6
craig county,virginia,"4,829",4.1,16.2,26.4,96.8,0.7,0.5,0.6,0,1.6,83.7,189000,2.79,1.9,87.2,19.2,8,69057,34638,14.9
covington city,virginia,"5,663",5.8,23,19.8,79.7,12.7,0,1.3,0,3.6,70.1,83500,2.17,6.2,86.4,9.5,8.7,41944,24761,1049.0
colonial heights city,virginia,"18,674",5.9,24.6,18.3,66.2,19.3,0.8,3.7,0,8.3,68.1,246600,2.41,9.2,90.8,28,9.2,76505,37650,2416.5
clarke county,virginia,"15,598",4.5,19.3,23.7,90.1,4.4,0.8,1.8,0.1,9.3,81.5,550100,2.53,9.9,92.9,39.8,7.2,117111,57955,84.0
chesterfield county,virginia,"389,793",5.7,23.3,16.9,66,25.8,0.7,4.1,0.2,12.6,76.7,366000,2.66,14,93.1,43.8,7.1,101931,48518,860.8
chesapeake city,virginia,"254,997",5.8,23.7,15.7,60,30.7,0.5,4.3,0.2,8.2,74.4,378400,2.65,8.4,94.2,36.9,6.1,95373,44985,736.9
charlottesville city,virginia,"44,767",5.5,17.1,14.5,71,16.4,0.5,7.9,0.1,7.1,44.2,486700,2.14,14.9,93.5,62.5,7.7,74824,51540,4544.0
charlotte county,virginia,"11,258",5.6,21.7,24.1,70.8,26.1,0.6,0.3,0.1,3,74.7,144100,2.4,2.1,83.3,20,9.5,58000,33110,24.3
charles city county,virginia,"6,564",3,13.3,28.4,47.4,41.8,6.4,0.8,0.1,2.3,86.3,241400,2.28,2.2,87.9,17.3,9.6,75417,44626,37.0
carroll county,virginia,"29,242",4.1,17.2,27.5,96.4,1.2,0.4,0.3,0,4.6,77.1,156500,2.3,4,85.5,16.9,10.2,54484,31609,61.4
