county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
colorado county,texas,21475,6.1,23.4,24,83.1,12.5,1.2,0.8,0.1,31.5,81,194000,2.7,17.9,88.4,24,21.5,68554,37885,21.4
comal county,texas,201628,5.2,21.8,19,90.9,3.7,0.9,1.8,0.2,29.5,76.9,398800,2.6,15.1,94.2,42.2,12.4,99015,51472,288.6
comanche county,texas,14359,6,22.3,23.9,94.5,1.7,1.4,0.7,0.1,30.3,80,137800,2.5,20.9,84.6,20,23.3,59946,31183,14.5
concho county,texas,3326,2.7,10.6,20.1,83.2,12.8,1.1,1.7,0,33.1,77.7,105800,2.9,30.9,79.5,13.2,14.8,59632,26200,3.4
cooke county,texas,44258,5.8,22.9,20,91.7,3.6,1.6,1.1,0.1,21.7,72.2,224600,2.6,14.9,88.4,23.6,19.8,72472,38518,47.6
coryell county,texas,86370,6.2,22.1,11.9,72.3,18.1,1.4,2.5,1.1,21.6,59.4,177400,2.6,16,90.7,18.7,13.2,68904,29059,79.0
cottle county,texas,1263,3.1,18.6,26.7,85.2,10.7,0.7,0.2,0.1,27.8,78.6,54100,2.3,13,79.6,21.8,16.6,58819,33973,1.5
crane county,texas,4594,7.3,29.5,13.2,90,4.5,2.3,1.2,0.2,70.5,81.4,119900,2.7,54.5,75.6,14.3,20,59915,30862,6.0
crockett county,texas,2799,6,24.5,21,90.5,3,3.3,1.6,0.1,64.3,74.7,140000,2.4,59.5,65.8,11,24.5,81739,36215,1.1
crosby county,texas,5030,6.3,25.8,19.6,89.9,4.6,1.7,0.4,0.1,57.1,71.9,75500,2.5,34.9,78.4,14.1,20.3,52197,30845,5.7
culberson county,texas,2254,6.6,23.2,18.8,88.9,2.4,2.8,2.8,0,68.2,74.1,84500,3.1,64.8,73.3,16.3,16.4,42672,22621,0.6
dallam county,texas,7526,11.3,34.6,10.6,89.6,2.8,3.7,1.4,0.9,58.2,68.1,140500,3,38.1,80.7,15.7,26.8,72332,27774,4.7
dallas county,texas,2656028,6.8,24.5,12.4,65,23.6,1.2,7.9,0.1,42.3,50.8,277900,2.7,42.7,81.7,34.8,23.3,74149,41272,2993.6
dawson county,texas,11758,6.9,24.7,14.3,87.8,7.3,1.5,1.2,0.1,57.1,69.9,90800,2.5,35.3,72.3,14.5,23.8,55789,26182,13.8
deaf smith county,texas,18495,8.6,30.7,13.6,93.2,2.4,2.2,0.7,0.1,77.6,65.9,116000,3.1,56.8,71.4,11.8,23.5,54114,24087,12.4
delta county,texas,5647,7.4,25.2,21,86.3,6.3,2.7,0.8,0.1,10.1,83.1,149400,2.5,2,90,19.5,13.5,62855,31640,20.4
denton county,texas,1045120,5.7,22.5,12.3,70.1,12.6,0.8,13.4,0.1,20.8,65.4,403400,2.7,24.5,93.4,48.4,12,108185,52909,1031.8
dewitt county,texas,20252,5.5,22.2,20.7,87.1,9.6,1.1,0.6,0.1,36.6,70.7,167200,2.7,16.1,85.4,15.7,17.3,64014,30723,21.8
dickens county,texas,1725,5.1,17.9,29.8,88.7,3.5,3.2,1.4,0.2,27.6,81.4,65000,2.3,20.6,85,19.1,17.9,50417,31451,2.0
dimmit county,texas,8181,7.1,27.5,16.5,93.9,2.3,1.4,1.1,0.1,87.6,60.8,80300,2.8,56.5,74.4,11,17.3,33409,20919,6.5
donley county,texas,3193,4,19.1,25.6,89.6,5.8,1.3,1.3,0.1,13.3,75.4,90500,2.4,7.1,83.5,16.1,20.8,56648,27623,3.5
duval county,texas,9585,7,25.6,17.5,94.2,2.7,1.3,0.6,0.3,81.9,71,86400,3.1,52.7,73.6,7,16.9,50081,23379,5.5
eastland county,texas,18290,5.6,20.8,22.5,93.1,2.6,1.4,0.9,0.1,18.1,71.1,121700,2.4,13.4,85,22.2,20.2,51741,31650,19.1
ector county,texas,170022,8.7,30.3,9.9,89,5.5,1.5,1.6,0.3,66,64.4,190500,2.6,46.7,77.6,16.6,22.6,71031,34459,184.0
edwards county,texas,1383,6,21.3,30.7,90.7,3.3,3.2,1.2,0.2,50.8,94.5,78300,2.9,38.4,78.4,25.9,28.8,38500,25240,0.7
el paso county,texas,875784,6.3,25.2,13.7,90.7,4.6,1.2,1.6,0.2,82.8,63.7,167300,2.9,68.3,80.6,25.4,23.4,58859,27541,854.4
ellis county,texas,232387,6.5,26,13.3,76.7,18.5,1,1.3,0.2,29.1,76.3,306400,2.9,19,87.6,28.6,16.3,95898,39646,205.7
erath county,texas,44496,5.5,20.5,15.6,93.1,2.2,1.5,1.4,0.1,22.8,63.8,251900,2.5,16.1,87.1,32.5,21.3,65351,33116,39.3
falls county,texas,17752,5.6,20.8,19.4,72.3,23.2,1.4,0.7,0.3,26,78.4,97300,2.5,15.7,84.9,15,18.4,55372,29535,22.2
fannin county,texas,38650,5.1,20.7,18.3,88.1,6.9,1.5,0.8,0.1,14.3,75.5,213500,2.6,10.3,86.8,20.2,17.8,68377,34865,40.0
fayette county,texas,25488,5.1,20.3,27.4,89.8,6.3,1.5,0.6,0.1,23.1,79.7,271100,2.5,16.2,90.3,27.2,18.4,76541,41964,25.7
fisher county,texas,3665,4.6,21.8,24.6,90.6,4.5,1.5,0.5,0.1,28.3,81.8,77600,2.3,14.3,90.3,18.2,15.5,64700,35440,4.1
floyd county,texas,5042,5.6,24.9,19.8,91,4.6,1.7,0.5,0.1,59.3,75.2,101000,2.7,39.9,74.6,16.7,22.9,55461,31438,5.4
foard county,texas,1053,4.7,20.4,27.4,88.7,6.6,1.2,0.9,0,20.9,66.7,71400,2.5,3.7,81.2,14.5,20.1,42212,27873,1.6
fort bend county,texas,958434,5.8,26,13.3,50.6,22.8,0.7,23.2,0.1,25,77.5,350300,3,40.7,91.9,49.3,13.2,113409,46693,954.8
franklin county,texas,10912,5.3,21.9,23.2,89.5,5.2,1.4,1.2,0.1,15.8,79.4,213200,2.6,12.2,90.9,29.3,16.2,66800,39633,36.4
freestone county,texas,20645,5.2,22.5,20.7,80,15,1.5,1,0.1,18.3,74.8,164400,2.7,11.3,86.6,15.9,20.9,58460,29170,22.1
frio county,texas,19520,5.9,24.3,11.5,89.1,5.4,1.2,2.8,0,78.6,63,110100,2.8,52.2,70.6,11.4,21.2,60098,22170,16.2
gaines county,texas,22892,10.2,35.8,9.4,94.4,2.2,1.2,0.7,0,41.1,76.6,185300,3.1,56.8,58.3,8.1,33.5,76605,30786,14.4
galveston county,texas,367407,5.5,23,16.7,79.1,13.5,0.9,3.9,0.1,27.4,67.5,284900,2.5,20.6,89.8,34.3,15.8,85348,44123,924.6
garza county,texas,4645,5.1,19.7,13.3,86.7,7.7,1.7,1.1,0.2,55,68.5,79300,2.9,39,68.1,10.6,18.4,50545,20328,6.5
gillespie county,texas,28159,4.8,19.4,31,95.5,1,1.3,0.7,0.1,24.1,71,432300,2.4,15,89.3,35.3,21.5,67799,43555,25.3
glasscock county,texas,1153,7.8,25,15.4,94.3,2.8,1.5,0.3,0.2,33.1,66.4,248600,2.4,26,87.6,39.9,13.3,106806,53801,1.2
goliad county,texas,7221,5.3,20,26.4,91.2,5,1.4,0.7,0,32.5,82.8,182800,2.5,17.2,84,19,17.7,59556,38705,8.2
gonzales county,texas,20040,7.5,26.2,18.6,87.9,7.7,1.9,0.7,0.2,51.7,69.9,158900,2.5,28.1,77,12.6,24.1,59355,31773,18.4
gray county,texas,20888,5.7,24.7,17,89.5,5.3,1.9,0.8,0,33,73.5,100400,2.5,20.7,84.8,15.4,21.9,56082,30893,22.9
grayson county,texas,150532,6,23.8,18.3,86.6,6.4,1.8,1.8,0.1,17.3,67.3,228300,2.6,12.3,90.5,23.7,18.7,70455,36711,145.3
gregg county,texas,126679,6.8,25.4,16.7,73.9,20.8,1,1.6,0.1,21,59.5,185800,2.5,17.5,86.8,22.4,19.8,64809,33578,454.5
grimes county,texas,33448,5.9,22.3,18.8,82.6,13.7,1,0.6,0.1,26.1,78,226600,2.6,21,81.9,19.5,20,67080,31961,37.2
guadalupe county,texas,195166,5.7,23.7,15.3,83.6,9.4,1.1,2.4,0.3,40.3,78.5,285900,2.8,21.6,89.3,30.9,13,93776,39766,242.8
hale county,texas,31953,6.3,25.4,14.8,89.9,5.8,1.9,0.6,0.2,62.3,60.1,106100,2.7,36.9,75.1,15.6,23.8,52788,24606,32.4
hall county,texas,2828,4.6,20.7,23.9,86.7,8.9,1.8,0.6,0.1,37.8,75,80200,2.4,27.1,83.3,17.8,25.3,46728,24649,3.2
hamilton county,texas,8644,4.3,21.6,24.9,93.8,1.5,2.1,1.1,0.1,15.6,77.4,124800,2.6,11,88.3,24.3,21.9,55339,36865,9.8
hansford county,texas,5006,7.1,28.7,15.1,94,1.4,2.1,0.5,0.1,51.2,76.7,132100,2.8,35.6,74.6,30.4,29.1,68299,34184,5.7
hardeman county,texas,3417,6.4,22.7,23.1,87,7.5,1.5,1,0,25.3,69.6,76500,2.7,14.1,85.7,15,20.4,61179,29505,5.1
hardin county,texas,58670,5.9,24.6,18.3,90.3,6.1,0.7,1,0.1,7.5,82.5,188200,2.6,4.6,89.9,20.8,14.6,72532,36761,63.1
harris county,texas,5009302,6.7,25.4,12.3,67.4,20.9,1.4,8,0.1,45,54.8,255000,2.7,44.7,82.5,33.7,22.2,73104,39978,2771.7
harrison county,texas,71370,5.7,23.5,18.5,74.4,21,1.4,0.9,0.1,15.4,74.9,178200,2.7,9.4,89.2,22.5,15.6,66040,31547,76.5
hartley county,texas,4996,6.5,21.8,16.6,89.9,6.6,1.2,0.9,0,31.8,76.7,213200,2.4,22.2,83.1,23.1,14.9,82122,30181,3.7
haskell county,texas,5435,4.2,17.8,22.6,88.5,5.9,1.5,1,0,27.1,74.1,92000,2.4,20.5,83.3,22.5,22,54044,37896,6.0
hays county,texas,292029,5.7,21.9,12.6,87.9,5.1,1.3,2.8,0.1,40.3,64.1,371400,2.6,25,91.5,41.9,14,85827,41931,356.2
hemphill county,texas,3134,5,25.9,19.1,92.9,1.6,2,1.4,0.2,33.8,76.4,214900,2.4,30.3,84.5,24.4,18.4,72052,45325,3.7
henderson county,texas,87467,5.7,21.3,23.1,89,6.4,1.1,1,0.1,16,76.5,189600,2.5,11,87.5,20.2,20.1,63955,33734,94.0
hidalgo county,texas,914820,7.7,30.1,12.1,96.4,1.2,0.6,1.2,0.1,92,67.6,124000,3.3,80.4,69.3,20.3,27.5,52281,22005,554.3
hill county,texas,38771,5.8,22.8,20.7,89.4,6.1,1.2,0.8,0.2,24.3,76.4,163100,2.7,15.5,86.9,18.5,20,63147,31410,37.4
hockley county,texas,21505,6.7,26.4,15.9,91.8,4.1,1.7,0.6,0.1,51.1,72.6,112700,2.6,26,79.9,18.3,20.4,54810,30131,23.7
hood county,texas,69126,4.9,20,26,94.3,1.6,1.1,1,0.1,14.6,81.3,281300,2.5,9,92.3,32.4,16.2,86802,44564,146.4
hopkins county,texas,38784,6.2,24,19.1,87.9,7.3,1.1,1.2,0.1,19.6,69.9,193200,2.7,15.8,84.6,20,21.3,64725,32536,47.9
houston county,texas,22197,5.5,20.4,22.7,72.8,23.6,0.9,0.9,0.1,15.1,68.8,155100,2.5,10.1,82.7,15.5,19.9,54563,27784,17.9
howard county,texas,30833,5.9,22.8,13.9,88.4,6.4,1.7,1.2,0.2,49.5,68.6,150300,2.5,31.1,81.2,15.3,17.2,71457,34587,38.7
hudspeth county,texas,3608,2.6,10.8,9.1,85.5,7.7,1.5,2.9,0.1,69.7,73,57400,3.1,65.2,59.9,12.4,25.7,39336,19142,0.7
hunt county,texas,118729,6.6,24.7,15.3,84.5,9.4,1.4,1.9,0.2,23.3,70.8,210900,2.7,14.7,86.3,21.9,19.7,70112,32446,118.9
hutchinson county,texas,19721,5.4,23.9,18.9,91.4,3.1,2.2,0.7,0.1,25.5,80.9,102200,2.9,16.3,85.8,16,16.2,65470,31917,23.2
irion county,texas,1526,5.8,22.6,24.2,93.7,1.9,1.5,0.5,0,25.6,88.6,152600,2.4,22.9,89.2,22.1,17.5,58125,32883,1.4
jack county,texas,9398,4.6,21,16.9,91.5,4.5,1.3,1.2,0.1,18.9,71.7,174800,2.6,13,80.2,15.6,22.6,65693,31398,9.3
jackson county,texas,15284,6.9,25.1,20.5,89.1,6.8,1,1.1,0,34.7,70.1,175500,2.7,19.7,83,15.9,20.3,61752,32146,18.1
jasper county,texas,32907,5.9,23.1,21.6,80.6,15.7,0.9,0.7,0.1,7.4,77.7,125900,2.3,5.7,88.3,12.6,16.3,49919,32261,35.1
jeff davis county,texas,1778,2.4,5.5,44.7,91.1,1.6,2.1,2.3,0.3,29.6,89.8,234400,2,29.5,86.7,30.4,13.3,32625,35662,0.9
jefferson county,texas,253948,6.4,24.5,16.2,58.2,34.4,1.1,4.2,0.2,25.3,61.8,159600,2.6,23.1,84.9,19.4,21.5,59934,31855,292.6
jim hogg county,texas,4583,6.2,27.6,17.7,96,1.5,0.7,0.7,0,89.1,61.5,125600,3.9,59.4,78.8,19,19.6,42230,17049,4.3
jim wells county,texas,38886,6.8,27,16.6,95.6,1.4,1.3,0.6,0.1,79.8,67.5,104800,2.9,48.8,79.2,15.2,19.1,47492,25529,45.0
johnson county,texas,210547,6.3,25.3,14.2,87.1,7.2,1.1,1.7,0.5,26.6,74.5,254600,2.9,17.7,86.9,23.5,18.1,81826,34302,248.2
jones county,texas,20850,3.8,16.5,15.6,81.7,13.9,1.6,0.8,0.1,29.2,80.9,92700,2.3,17.8,81.1,11.2,18.6,63472,23851,21.2
karnes county,texas,15137,4.8,19.1,14.9,85.1,11.5,1.3,0.7,0,54.3,65.3,136900,2.4,28.4,77.2,16,17.8,59103,28251,19.7
kaufman county,texas,197829,7.5,28.8,10.3,70.3,23.5,1.1,2.5,0.1,28.9,78.6,290800,3.2,21.7,86.3,25.3,17.5,88606,34131,186.1
kendall county,texas,51828,4.6,21.5,21.1,92.8,1.9,0.8,2.1,0.1,25.9,77.9,489800,2.7,13.6,93.6,49.1,15,110498,57181,66.8
kenedy county,texas,330,4.8,16.7,24.5,87.6,5.5,0.9,2.1,0,70.9,35.3,0,2.7,90.4,46.8,10.6,29.2,0,31183,0.2
kent county,texas,703,4.8,24.2,25.5,91.9,1.7,1.7,0.3,0.1,16.9,77,108900,2.4,7.6,89.9,26.9,9.6,71420,35087,0.8
kerr county,texas,53900,4.4,18,30,92.9,2.2,1.3,1.5,0.1,27.6,70.4,285100,2.3,13.7,90.3,31.2,20.7,67927,39822,47.7
kimble county,texas,4401,5.1,18.2,32.2,94.7,1.4,1.6,0.9,0.1,23.7,78.6,173100,2.3,21.8,83.1,25.6,20.2,65703,37812,3.4
king county,texas,215,7.9,26.5,22.3,92.6,2.3,1.4,0,0.5,15.3,42.2,0,2.1,14.5,79.9,36.4,23.6,70192,30890,0.3
kinney county,texas,3191,5,17.4,26.6,90.2,3.6,2.3,1,0.2,54.7,76.6,88500,2.4,42.4,88.7,19.5,12.5,66341,34491,2.3
kleberg county,texas,30442,6.5,23.8,13.9,89.2,4.5,1.1,2.6,0.2,71.6,53.9,152200,2.5,34.5,83.8,23.7,18.8,57612,26301,35.2
knox county,texas,3255,6.1,25.7,21.4,87.1,6.1,1.4,1,0.1,33.3,78.1,66800,2.6,23.1,85.2,15.6,24,56304,26698,3.9
la salle county,texas,6679,4.9,18.6,15,93.5,2.7,1.6,0.9,0,78.4,78.8,101000,3.5,58.7,63.9,8.1,23.5,55469,16317,4.5
lamar county,texas,51249,6.4,24.2,19.4,79.7,13.7,2,0.9,0.1,10.3,65.8,175500,2.5,8.8,88,20.6,18.2,61122,31430,55.2
lamb county,texas,12687,6.6,26.9,17.7,90,4.9,2.2,0.7,0.2,59.5,72,76600,2.7,43,77.4,14.3,23.3,56997,26993,12.8
lampasas county,texas,23539,4.8,20.9,21.8,88.2,4.9,1.4,1.6,0.6,21.4,80.3,236000,2.7,12.4,90.3,21.6,18.7,76919,36318,30.4
lavaca county,texas,20605,5.9,22.8,25,90.4,6.2,0.8,0.8,0.1,20.8,76.3,220900,2.4,13.7,87.1,20.9,17.5,61768,35549,21.0
lee county,texas,18451,5.8,21,21.4,86.2,9.7,1.2,0.7,0.3,27.3,78.1,247500,2.6,19.8,83.2,18.7,20.8,66000,31961,27.8
leon county,texas,16698,5.7,23,24.9,89.2,6.8,1,1,0,17.7,77,177400,2.4,12.1,86.3,17.1,21.3,59975,32596,14.6
liberty county,texas,115042,7.5,30.7,11.1,86.4,9.1,1.6,0.9,0.1,44.1,80.8,167100,3.1,31.3,78.1,11.2,23.8,64773,26368,79.1
limestone county,texas,22569,5.8,22.5,21.7,78,16.9,1.4,1.2,0.1,24.4,74.1,154400,2.6,18,85.6,19.1,19.2,58109,27878,24.5
lipscomb county,texas,2880,6,24.4,20.4,90.2,2.4,2.4,1.1,0.2,39.9,80.2,128400,2.7,29.8,83.5,25.4,22,71442,34127,3.3
live oak county,texas,11967,4.4,18.3,20.8,86.8,7.6,1.5,1.6,1.2,42.6,72.9,142300,2.4,28.4,76.9,13.8,20.9,53869,27757,10.9
llano county,texas,23163,4.3,15.5,37.3,94.8,1.5,1,0.8,0.1,14.9,77.2,322300,2.1,9.4,91.9,33.1,18.7,65636,52514,22.7
loving county,texas,48,4.2,31.3,2.1,89.6,10.4,0,0,0,10.4,11.1,0,1.5,37,94.2,0,6,51087,86035,0.1
lubbock county,texas,327394,6.3,23.3,13.7,85.4,8.3,1.2,2.8,0.1,37.1,55.3,199600,2.4,20,88.8,33.3,15.7,63367,35170,346.8
lynn county,texas,5952,7.4,28.5,16.6,91.3,3.4,2.3,0.8,0.1,40.6,76.7,130800,2.7,23.7,82.8,24.3,15.5,57411,33044,6.3
madison county,texas,13877,6.2,22.1,15.4,76.6,18.7,1.3,1.2,0.1,26.8,70.8,149100,2.7,19.5,80.2,14.5,22.5,67128,26453,28.9
marion county,texas,9704,4.2,17.6,28.8,74.8,19.4,1.2,1.2,0.1,5.4,77.4,110500,2.3,2.1,86.6,16,17.9,47447,29117,25.5
martin county,texas,5179,6.6,30.8,12.2,91.4,4,1.8,0.7,0.1,47.4,66.9,162200,2.5,32.8,83.8,17.8,16.7,77083,46701,5.7
mason county,texas,3987,4.5,19,31.6,95.8,1.1,1.1,0.3,0.3,23.6,75.9,274600,2.5,19.1,84.3,40.1,21.3,68750,36189,4.3
matagorda county,texas,36391,7.2,25.9,19.1,82.9,10.8,1.5,2.1,0.2,44.5,68.7,162200,2.4,28.2,82.7,22.8,21,55174,30189,33.2
maverick county,texas,58829,8.5,30.8,12,95.7,1.1,2,0.6,0.1,94.6,68.7,151500,3.1,89,67.7,15.3,23.7,51270,21952,45.2
mcculloch county,texas,7448,5.8,21.2,25.2,92.3,3.5,1.4,0.8,0.1,30.1,70,104400,2.4,25.4,82.8,19.6,21.6,51919,30468,7.2
mclennan county,texas,270358,6.1,23.6,15.8,79,15,1.2,2.2,0.1,27.7,61.2,219200,2.7,19,88.1,27.8,17.2,63888,33019,251.4
mcmullen county,texas,565,7.4,22.5,23.9,90.3,3,1.1,1.4,0,39.1,76.8,108800,3.7,12.1,88.4,15,17.1,45833,23859,0.5
medina county,texas,55619,5.3,22,18.4,91.2,4.4,1.2,1,0.2,52.6,82.7,220000,2.9,25.4,86,22.2,16.8,73462,32091,38.3
menard county,texas,1911,3.9,17.6,33.8,91.8,3.1,2.1,0.5,0,34.1,76.1,105300,2.3,21.9,76.8,22.9,23.7,48191,32986,2.2
midland county,texas,183587,8.4,29.4,10.8,86.4,7.7,1.2,2.5,0.2,48.4,68.2,293000,2.5,31.6,86.2,30.9,15.4,93984,48908,188.8
milam county,texas,26159,6,22.6,21.9,86.3,9.2,1.4,1,0.1,26.8,77.4,168900,2.5,18.3,86.7,19.5,18.5,59076,33760,24.4
mills county,texas,4563,4.1,19.9,29.1,93.7,1.8,1.4,0.9,0.1,18.3,84.5,200200,2.4,13.1,89.5,28.1,19.9,64494,36334,6.0
mitchell county,texas,8968,4.3,19.6,15.4,81.3,12.8,2.1,0.9,0.2,39.2,79.5,85700,3,20.8,83.3,13.9,14.9,56033,28277,9.9
montague county,texas,21890,5.3,22.3,22.1,94.5,1.3,1.4,0.6,0.1,12.8,78.8,189400,2.5,8.9,86.9,17.8,20.2,62818,30689,21.4
montgomery county,texas,749613,6.2,25.4,14.2,84.1,8.3,1,4.1,0.1,29.3,71.7,317500,2.8,24.1,90.2,37.9,17.6,97266,48550,595.3
moore county,texas,21872,9.1,31.6,11.6,86.3,5.8,2.3,3.9,0.3,63.2,62,135400,2.9,49.8,70.2,12,25.8,61325,27472,23.7
morris county,texas,12184,5.9,23.4,22.3,71.2,22.5,1.7,1,0.2,12.4,75.4,110200,2.4,11.1,87.1,15.5,17.6,55082,27503,47.5
motley county,texas,1015,5.5,19.5,31.3,92.9,3.1,1.8,0.2,0.2,16.7,76.9,81100,2.7,9.6,85.7,22,16.1,62857,29882,1.1
nacogdoches county,texas,65728,6.1,23,16.4,77.9,17.5,0.9,1.4,0.1,22.3,58,158200,2.4,15.9,85.2,26.5,20.9,51528,28856,68.3
navarro county,texas,56533,6.6,26.5,17,81.7,12.1,1.2,1,1.5,33.7,68,159900,2.8,25.7,79.4,17.1,22.9,59310,27846,52.1
newton county,texas,11908,4.9,19.6,24.4,78.4,17.2,1.2,0.7,0,4.1,81.5,83100,2.5,2.9,84.4,6.2,20,41044,25045,13.1
nolan county,texas,14182,6,24.4,19.1,90,5.2,1.4,1,0.1,38.3,66.1,98300,2.4,22.1,83.5,13.7,17.7,50160,31045,16.2
nueces county,texas,353125,5.9,23.2,16.8,90,4.6,0.9,2.6,0.2,63.4,59.9,194700,2.6,32.8,85.3,23.7,18.4,66021,33560,420.9
ochiltree county,texas,9717,7.6,29.2,14,93,1.5,3.1,0.7,0.1,59.4,69.1,137200,2.6,46,80.9,19,27.1,64988,33106,10.9
oldham county,texas,1823,4.4,21.3,16,89,3.9,1.9,2.5,0.1,22.5,71.2,144800,2.7,12,87.8,25.3,17.5,76402,31637,1.2
orange county,texas,86115,6.3,25.3,16.6,86.4,9.4,0.8,1.3,0.1,10.8,75,163400,2.7,7.6,91,17.8,15.1,73372,36408,254.1
palo pinto county,texas,30231,5.9,22.9,20.8,92.9,2.8,1.2,1.1,0.1,21.4,69.2,167300,2.6,12.8,86.1,18.7,21.5,64972,32196,29.8
panola county,texas,23022,5.9,23.1,20.4,80.4,15.5,0.9,0.7,0.1,11.1,79.3,146000,2.6,9.4,85,17.9,17.6,62593,35020,27.7
parker county,texas,179707,5.9,24.3,16.2,93.3,2.2,1,1.1,0.1,15.9,82.1,343600,2.9,9.3,90.5,31.6,15.3,102099,45471,164.0
parmer county,texas,9669,7.6,27.5,15.3,92,2,2.1,1.1,0.4,67.8,68.4,127300,3,55.1,72.7,16.7,26.6,68164,29776,11.2
pecos county,texas,14712,6.1,24.3,13.5,90,4.9,1.6,2.1,0.1,71.4,72.7,142900,2.5,50.8,79.1,13.4,21.3,67689,29690,3.2
polk county,texas,54258,4.9,20.2,19.3,85.2,9.4,2.1,1.1,0.1,16.1,77.5,154000,2.6,12.8,81.8,13.4,19,59066,28346,47.4
potter county,texas,114649,6.9,26.4,14.9,79.1,11.9,1.4,4.9,0.1,40.4,56.5,134900,2.6,30.1,77.4,17.3,23.7,50448,27406,130.5
presidio county,texas,5686,7,26.3,23.2,91.8,2.7,2.3,1.7,0.1,82.6,74.4,123100,2.6,71,66.1,20.2,29.6,29014,22463,1.6
rains county,texas,13306,4.7,19.8,26.2,91.9,2.8,1.6,1.4,0,11,82.9,214900,2.6,4.8,89.8,25.2,20.5,64874,38483,53.0
randall county,texas,150547,6,23.5,16.3,89.5,4.7,1,2.3,0.1,26.3,68.6,227500,2.5,12.8,93.6,32.1,13.6,80905,41758,154.2
reagan county,texas,3139,7.2,28.2,13.3,88.7,4.2,1.7,1.8,0,69.5,76,163700,3.1,42.4,89,17,18,70288,27477,2.9
real county,texas,2772,4.3,16.6,31.2,91.2,2.1,2.8,0.8,0.5,28.5,75.6,0,2.7,15.1,86.9,19.1,19.4,45417,23000,3.9
red river county,texas,11696,5.3,20.6,26.3,79,15.8,1.9,0.6,0.1,8.5,70.4,133800,2.3,4.3,87.1,15.6,21,46912,28337,11.1
reeves county,texas,11956,7.4,27.3,12.6,92.4,3.2,1.4,1.6,0.1,85.2,79,113700,2.9,61.5,71.3,6.9,21.3,56056,24438,5.6
refugio county,texas,6739,5.6,22.6,22.2,88.3,7.4,1.3,0.9,0,51.2,78,94400,2.8,25.3,82.6,13.8,17.8,58016,26972,8.7
roberts county,texas,837,3.2,21.5,23.2,93.7,0.4,3.1,0.2,0,12.5,85.5,176800,2.6,3.7,97.5,22,13.9,66118,31522,0.9
robertson county,texas,17659,6.4,24,21.4,76.4,19.1,1.2,0.9,0.1,22.9,73.3,172700,2.6,13.6,84.8,19.1,18.3,66250,31209,19.6
rockwall county,texas,137044,5.9,26,13,80.8,11.1,0.9,4.4,0.1,21.8,82.6,386000,2.9,15.7,94.2,44,11.4,124917,54098,847.6
runnels county,texas,9751,5.9,23.3,21.3,92.2,2.7,2,1.2,0,35.8,74.7,103700,2.6,23.3,86.2,19.1,20.3,63490,31419,9.4
rusk county,texas,53391,5.4,22.4,18.2,79.2,16.5,1.1,0.7,0.1,19.8,80,166900,2.6,13.6,84.9,17.9,17.8,67506,33420,56.5
sabine county,texas,10058,5.1,17.9,31.9,88.2,7,1.2,0.7,0,4.5,85.5,131900,2.2,2.3,87.3,17.8,18.2,59924,38367,20.1
san augustine county,texas,7767,4.8,19.7,28.2,75.3,21,1,0.5,0.1,9,74.8,83500,2.5,7.5,81.7,11.5,20.4,46338,25902,14.9
san jacinto county,texas,29326,5.5,21.1,23.8,86.5,8.9,1.3,0.8,0.1,20.5,84.2,183100,2.7,18.1,84.4,15.8,20.5,59526,30234,48.1
san patricio county,texas,71467,6.4,25.3,15.7,93.2,2.3,1.1,1.6,0.2,57.6,66.3,180400,2.8,30.2,83.9,17.2,18.3,67512,31692,99.2
san saba county,texas,5508,4.6,19.7,24.1,91.7,3.3,1.8,0.7,0.1,31.9,68.9,161800,2.5,22.4,84.5,21.7,25.6,54855,29823,5.0
schleicher county,texas,2302,5,21.6,22,92.3,2.4,1.7,0.7,0,53.6,87.6,113400,2.6,36.1,81,24.2,20.8,90141,33900,1.9
scurry county,texas,16211,6.3,25.6,16.6,90.3,4.5,1.5,1.2,0.1,44.7,77.1,110800,2.5,24.4,85.2,17.9,18.5,62689,30274,18.7
shackelford county,texas,3169,4.8,20.8,22.9,93.7,2.2,1.3,0.6,0.1,13.6,81.9,176900,2.4,6.9,92.4,34.6,16.3,64659,34010,3.4
shelby county,texas,24192,6.7,25.8,19,78.2,16.9,1.1,1.7,0.2,20.4,75,111700,2.6,13.8,82.5,13.7,21.9,50436,28183,30.2
sherman county,texas,2771,7.8,26.6,16.5,93.2,2.2,1.7,1,0,48.7,74.5,125500,2.9,39.9,78,25.6,26.7,74167,52788,3.0
smith county,texas,249091,6.2,23.9,18,77.2,17.7,0.9,1.9,0.1,21.6,69.3,220800,2.8,17.9,88,27.7,19,71923,34785,253.4
somervell county,texas,10098,4.8,21.4,21.1,93.6,1.5,1.6,1.1,0.1,18.3,81.9,253600,2.6,17.1,91.3,25,14.7,83382,40711,49.4
starr county,texas,66587,8.4,31.9,11.5,98.3,0.6,0.5,0.3,0,96.9,71.6,93300,3.5,92.5,60.1,13.3,25.1,38182,18063,53.9
