county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
albany county,wyoming,14.9,13.8,49.4,322100,2.1,10.7,55.5,13.2,37277,8.7,10.4,28.7,10.7,10.7,Low Risk: Educated Urban Communities
big horn county,wyoming,23.6,22.5,77.2,198200,2.6,7.1,20.9,18.5,31066,3.7,16.9,46.1,5.7,9.8,Medium Risk: Older White Homeowner Communities
campbell county,wyoming,25.8,14.7,78.4,266400,2.6,7.5,22.2,12.3,40983,9.8,10.6,40.5,5.9,10.3,Medium Risk: Older White Homeowner Communities
carbon county,wyoming,21.4,20.3,76.8,214500,2.4,11.7,22.8,16.4,35421,1.8,15.7,41.7,7.4,18.8,Medium Risk: Older White Homeowner Communities
converse county,wyoming,23.6,20.5,78.3,269700,2.4,3.7,22.9,14.1,38337,3.2,16.8,44.1,5.4,8.6,Medium Risk: Older White Homeowner Communities
crook county,wyoming,24.8,23.5,76,276800,2.5,3.3,24,14.1,35109,2.5,13.2,48.3,3.8,2.4,Medium Risk: Older White Homeowner Communities
fremont county,wyoming,23.8,20.8,70.7,252700,2.6,6.6,25.3,15.2,32717,4.3,15.2,44.6,26.1,7.5,High Risk: Rural Minority Communities
goshen county,wyoming,19.7,25,74.1,234600,2.3,6.3,24.6,13.8,34997,5.6,18.8,44.7,5.8,10.4,Medium Risk: Older White Homeowner Communities
hot springs county,wyoming,20,31.1,72.6,214400,2.2,1.9,26.4,13.2,33942,2.3,20.1,51.1,6.9,5.4,Medium Risk: Older White Homeowner Communities
johnson county,wyoming,19,28.7,79.6,296000,2.2,3.4,30.3,12.6,39367,2,14.8,47.7,5.6,4.4,Medium Risk: Older White Homeowner Communities
laramie county,wyoming,21.7,18.2,70.8,324900,2.3,6.6,32,11.3,42449,37.4,13.9,39.9,8.6,16.3,Medium Risk: Older White Homeowner Communities
lincoln county,wyoming,24.1,21.2,80.1,334500,2.6,5,24.1,17,40375,4.8,14.2,45.3,4.4,6,Medium Risk: Older White Homeowner Communities
natrona county,wyoming,22.9,18.3,73.6,260400,2.4,5.8,27.4,13.8,40978,15,15.9,41.2,6.4,9.9,Medium Risk: Older White Homeowner Communities
niobrara county,wyoming,17.7,28.6,65.2,194200,1.9,3.2,19.6,17,36676,0.9,16,46.3,5.6,4.7,Medium Risk: Older White Homeowner Communities
park county,wyoming,19.9,26.3,74.7,374200,2.2,3.5,35,13.8,41425,4.3,13,46.2,4.3,6.3,Medium Risk: Older White Homeowner Communities
platte county,wyoming,19.4,28.5,72.5,248900,2.2,7.2,19.5,14,37237,4.1,16.6,47.9,4.8,9.7,Medium Risk: Older White Homeowner Communities
sheridan county,wyoming,20.5,23.9,69.9,352200,2.3,2.7,33.4,13,40533,12.3,12.9,44.4,5.1,5.1,Medium Risk: Older White Homeowner Communities
sublette county,wyoming,20.9,24.8,81.1,350100,2.4,5.2,31.1,14.7,57348,1.8,15.7,45.7,5.4,7.6,Medium Risk: Older White Homeowner Communities
sweetwater county,wyoming,23.9,16.3,74,242900,2.5,8.7,20.4,11.7,40988,4.1,15.5,40.2,6.2,17.5,Medium Risk: Older White Homeowner Communities
teton county,wyoming,16.1,19,61.5,1371900,2.4,18.1,61.2,13.8,75541,5.8,6.4,35.1,6.6,16.6,Low Risk: Educated Urban Communities
uinta county,wyoming,25.9,18.4,76.5,255400,2.7,4.1,21.3,12.4,34568,9.8,14.7,44.3,4.7,10.4,Medium Risk: Older White Homeowner Communities
washakie county,wyoming,19.9,25.7,74.2,188600,2.2,7.8,22,13.3,36030,3.4,13,45.6,6.3,14.3,Medium Risk: Older White Homeowner Communities
weston county,wyoming,18.2,24,89,214000,2.4,3.3,18,14.6,41745,2.9,15.2,42.2,7.2,5.8,Medium Risk: Older White Homeowner Communities
wood county,wisconsin,21,23.1,72.6,175600,2.26,3.8,21.4,5.4,37943,93.6,15.3,44.1,6.1,4.2,Medium Risk: Older White Homeowner Communities
winnebago county,wisconsin,19.7,18.3,65.8,225800,2.27,5.9,31.1,5.4,40938,395.1,12.7,38,10.1,5.4,Low Risk: Educated Urban Communities
waushara county,wisconsin,17.2,27.9,84.2,203100,2.26,8.6,17.7,8,41552,39.2,16,45.1,5.5,7.1,Medium Risk: Older White Homeowner Communities
waupaca county,wisconsin,19.9,22.4,75.3,211400,2.23,3.7,20.5,6.5,41606,69.3,14.6,42.3,3.7,4.2,Medium Risk: Older White Homeowner Communities
waukesha county,wisconsin,20.4,21.8,76,398200,2.42,7.7,48.9,3.3,58126,740.3,9.4,42.2,9,6.1,Low Risk: Educated Urban Communities
washington county,wisconsin,20.3,21.4,78.1,344800,2.4,4.2,35.2,3.7,49106,317.6,9.8,41.7,6,4,Low Risk: Educated Urban Communities
washburn county,wisconsin,17.2,29.6,82.2,226100,2.2,2.7,25.5,7.3,38951,20.9,15.9,46.8,4.7,2.3,Medium Risk: Older White Homeowner Communities
walworth county,wisconsin,18.7,21.6,70.6,302700,2.38,10.7,32.4,7.1,45175,191.7,12,40.3,4.6,12.6,Low Risk: Educated Urban Communities
vilas county,wisconsin,15.8,33.5,84,300000,2.1,2.4,30.9,7.1,43101,26.9,15.4,49.3,12.5,2.4,Medium Risk: Older White Homeowner Communities
vernon county,wisconsin,25.6,22.2,80.3,223800,2.46,11.3,24.9,11.1,36396,38.8,10.6,47.8,2.7,2,Medium Risk: Older White Homeowner Communities
trempealeau county,wisconsin,26.3,19.8,74,216700,2.43,11,20.9,7.8,37226,42,10.9,46.1,5.8,13.1,Medium Risk: Older White Homeowner Communities
taylor county,wisconsin,22.8,22.8,79.7,197100,2.47,5.6,17,8.6,35571,20.4,12.5,45.6,3,3.4,Medium Risk: Older White Homeowner Communities
st. croix county,wisconsin,22.9,17.4,78.3,377700,2.54,3.3,39.5,4.4,50302,129.5,9.9,40.3,4.8,3.3,Low Risk: Educated Urban Communities
sheboygan county,wisconsin,20.9,20.9,71.5,232700,2.31,9.6,27.5,5.7,40078,230.7,11.2,41.8,12,8.2,Low Risk: Educated Urban Communities
shawano county,wisconsin,20.8,23.1,77.5,194000,2.35,3.3,19.1,6.7,36614,45.8,15.3,43.9,12.9,3.6,Medium Risk: Older White Homeowner Communities
sawyer county,wisconsin,17.7,29.8,76.7,236200,2.04,3.5,27.4,8,38676,14.4,16.5,47.5,20.3,2.6,Medium Risk: Older White Homeowner Communities
sauk county,wisconsin,22,21,72.4,258600,2.33,8.1,27.3,6.2,41246,79.1,12.2,43,5.6,7.6,Medium Risk: Older White Homeowner Communities
rusk county,wisconsin,19.6,27.4,77.9,163400,2.2,2.4,16.9,7.9,33309,15.5,17.3,47,3.9,2.3,Medium Risk: Older White Homeowner Communities
rock county,wisconsin,21.8,18.8,71.2,231600,2.41,8.8,25.8,5.6,38536,227.9,13.1,40.6,10.5,10.7,Low Risk: Educated Urban Communities
richland county,wisconsin,20.8,25.8,73.9,197500,2.32,6.8,21.2,7.7,36484,29.5,14.3,46.6,4.5,3.5,Medium Risk: Older White Homeowner Communities
racine county,wisconsin,22.3,19,71,251400,2.39,9.1,28.4,6.7,41162,594.4,13.8,41.3,17.6,16,Low Risk: Educated Urban Communities
price county,wisconsin,16.7,30.1,81.9,162500,2.13,2.1,17.9,6.7,36099,11.2,16.9,46.8,4.9,1.9,Medium Risk: Older White Homeowner Communities
portage county,wisconsin,18,19.3,69.7,243100,2.29,4.8,34,5.8,40191,87.9,11.4,37.3,7,4.6,Low Risk: Educated Urban Communities
polk county,wisconsin,19.3,24.1,81,271900,2.31,2.1,24.3,6.6,41288,49.2,13.9,43.4,4,2.3,Medium Risk: Older White Homeowner Communities
pierce county,wisconsin,19.8,17.8,75,333700,2.53,3.1,33.5,4.3,45908,73.5,10.2,37.6,5.2,3.1,Low Risk: Educated Urban Communities
pepin county,wisconsin,21.9,25.7,83,214800,2.41,6.1,23,7.4,39335,31.5,12,47.6,2.7,3,Medium Risk: Older White Homeowner Communities
ozaukee county,wisconsin,20.5,22.9,72.9,390200,2.38,5.8,51.2,3.7,59040,392.7,10.3,43.4,7.1,4,Low Risk: Educated Urban Communities
outagamie county,wisconsin,22.4,17.7,71.5,267300,2.42,7.6,32.7,5.3,47256,299.1,10.9,40.1,10.3,5.7,Low Risk: Educated Urban Communities
oneida county,wisconsin,16,30.2,82.3,238400,2.15,2,28.7,5.7,42684,34,14.7,46.2,4.4,1.8,Medium Risk: Older White Homeowner Communities
oconto county,wisconsin,19.2,24.5,85,231400,2.33,1.9,18.9,5.9,40358,39.1,14.4,43.7,4.6,2.3,Medium Risk: Older White Homeowner Communities
monroe county,wisconsin,25.3,19,72.8,210000,2.48,9,21.3,8.3,35704,51.4,13.7,44.3,6.4,6.2,Medium Risk: Older White Homeowner Communities
milwaukee county,wisconsin,23.2,15.4,49.9,230700,2.31,18.6,34.7,7.7,38385,3890.5,12.6,38.6,37,17.6,Low Risk: Educated Urban Communities
menominee county,wisconsin,31.6,17.1,75.5,110200,2.99,7.6,18.1,3.8,25577,11.9,15.1,48.7,84.3,5,High Risk: Rural Minority Communities
marquette county,wisconsin,18.3,28.1,81.2,210400,2.23,3.6,16.2,6.5,36513,34.2,18.1,46.4,4.1,4,Medium Risk: Older White Homeowner Communities
marinette county,wisconsin,18.5,26.3,81.6,158600,2.16,3.4,19.8,5.8,36118,29.9,15.3,44.8,3.9,3.3,Medium Risk: Older White Homeowner Communities
marathon county,wisconsin,22.1,20.2,73.3,219600,2.36,7.6,28.1,6.3,41413,89.3,12.5,42.3,10.4,3.9,Medium Risk: Older White Homeowner Communities
manitowoc county,wisconsin,19.6,23.8,77.1,186900,2.28,5.9,22.6,5.9,38222,138.1,13.1,43.4,7.3,6.1,Medium Risk: Older White Homeowner Communities
lincoln county,wisconsin,17.5,25.2,79.5,192700,2.18,2.4,19.6,6.2,39326,32.3,14.9,42.7,4.3,2.7,Medium Risk: Older White Homeowner Communities
langlade county,wisconsin,18.7,27,76.9,158200,2.16,2.2,17,7.6,35017,22.4,17.5,45.7,5.8,2.8,Medium Risk: Older White Homeowner Communities
lafayette county,wisconsin,25.3,21.2,80.2,194500,2.49,8.4,22.6,9.7,37123,26.2,10.7,46.5,3.6,8.3,Medium Risk: Older White Homeowner Communities
la crosse county,wisconsin,18.7,19.1,62.2,257000,2.25,6.7,36.5,4.3,41922,267.3,11.7,37.8,9.9,2.9,Low Risk: Educated Urban Communities
kewaunee county,wisconsin,20.4,23.5,86.5,222200,2.45,4.7,21.9,5.5,41026,60,12,43.9,3.9,4.3,Medium Risk: Older White Homeowner Communities
kenosha county,wisconsin,21,17.1,66.7,265500,2.39,13.1,31.2,6,42757,622.3,13.1,38.1,14.1,15.8,Low Risk: Educated Urban Communities
juneau county,wisconsin,18.7,23.1,78.1,177700,2.27,3.4,16.9,7.1,33746,34.8,17.3,41.8,6.6,3.2,Medium Risk: Older White Homeowner Communities
jefferson county,wisconsin,18.9,19.8,73.1,274100,2.37,6.3,28.5,5.5,41881,152.6,11.9,38.7,4.7,8.8,Low Risk: Educated Urban Communities
jackson county,wisconsin,20.8,21.7,80.1,196100,2.38,4.8,15.9,7.2,34930,21.4,14.1,42.5,11.5,4.2,Medium Risk: Older White Homeowner Communities
iron county,wisconsin,15.9,34.5,88.5,165900,1.96,2.4,26,5.6,38274,8.1,16,50.4,4.6,1.8,Medium Risk: Older White Homeowner Communities
iowa county,wisconsin,21.1,22.3,77.4,265000,2.33,2.3,28.4,5.1,43164,31.1,11.9,43.4,4.2,2.6,Medium Risk: Older White Homeowner Communities
green lake county,wisconsin,21.6,25,74.5,215400,2.28,8.7,22.8,8.6,39565,54.4,15.6,46.6,4,5.9,Medium Risk: Older White Homeowner Communities
green county,wisconsin,20.8,22.1,75.9,250200,2.32,3.8,27.7,5.2,43951,63.5,12,42.9,3.5,4.5,Medium Risk: Older White Homeowner Communities
grant county,wisconsin,20.8,19.3,69.8,200700,2.41,4.7,25.6,8.3,34411,45.3,10.9,40.1,4.1,2.8,Medium Risk: Older White Homeowner Communities
forest county,wisconsin,19,26.5,82,185000,2.29,2.7,16.1,7.8,33817,9.1,17.9,45.5,18.9,2.4,Medium Risk: Older White Homeowner Communities
fond du lac county,wisconsin,20.6,20.9,70.7,222800,2.33,6,22.3,5.2,39105,144.7,12.2,41.5,7.6,7.2,Medium Risk: Older White Homeowner Communities
florence county,wisconsin,13.5,32.6,90.9,173200,2.09,0.9,25,6.8,39539,9.3,17.1,46.1,4.2,1.8,Medium Risk: Older White Homeowner Communities
eau claire county,wisconsin,19.2,17.9,61,261000,2.3,6.7,36.8,5.5,42733,165.7,13.2,37.1,9.2,3.4,Low Risk: Educated Urban Communities
dunn county,wisconsin,18.9,17.9,67,243200,2.43,4.4,29.6,5.4,37499,53.4,13,36.8,6.7,2.6,Medium Risk: Older White Homeowner Communities
douglas county,wisconsin,18.8,22,71.9,205800,2.24,2.2,28.4,5.7,39586,34,15.2,40.8,7.6,2,Medium Risk: Older White Homeowner Communities
door county,wisconsin,15.2,34.2,78.2,342600,2.01,4.3,37.4,6.7,51577,62.4,12,49.4,4,4.5,Medium Risk: Older White Homeowner Communities
dodge county,wisconsin,18.8,20.2,71.3,231900,2.34,5.4,20.3,5.6,38304,102.1,12,39,5.9,7.2,Medium Risk: Older White Homeowner Communities
dane county,wisconsin,19,15.8,57.1,394800,2.21,11.5,55.3,4.3,53181,469.3,8.9,34.8,17.1,8.2,Low Risk: Educated Urban Communities
crawford county,wisconsin,18.8,26.3,77.2,183400,2.27,3.8,18.3,6.3,34846,28.2,11.9,45.1,4.8,2.1,Medium Risk: Older White Homeowner Communities
columbia county,wisconsin,19.9,20.9,76.7,283200,2.35,4.5,26,5.5,42924,76.4,11.8,40.8,5.5,4.6,Medium Risk: Older White Homeowner Communities
clark county,wisconsin,29.1,18.3,78.5,172800,2.67,18.3,13,18.8,32627,28.7,12,47.4,3.4,7,Medium Risk: Older White Homeowner Communities
chippewa county,wisconsin,20.7,20.8,74.2,257900,2.36,3.7,24.2,6,38156,65.7,11.3,41.5,5.5,2.1,Medium Risk: Older White Homeowner Communities
calumet county,wisconsin,21.1,18.7,80.1,274200,2.47,6,33,4.2,44798,164.8,9.7,39.8,7,5.9,Low Risk: Educated Urban Communities
burnett county,wisconsin,14.9,34.3,85.9,231300,2.34,2,22.4,7.1,39111,20.1,19,49.2,8.1,2.1,Medium Risk: Older White Homeowner Communities
buffalo county,wisconsin,19.6,25.5,77.5,213300,2.32,2.8,22.1,6.3,38280,19.7,15.3,45.1,3.1,3.2,Medium Risk: Older White Homeowner Communities
brown county,wisconsin,22.3,17.3,66,266000,2.38,10.2,33.5,6.2,42366,507,11.6,39.6,13.8,10.8,Low Risk: Educated Urban Communities
bayfield county,wisconsin,16.1,33.5,83.9,240800,2.21,3.1,35,6.6,41199,11,16.7,49.6,13.8,2.4,Medium Risk: Older White Homeowner Communities
barron county,wisconsin,20.6,24.7,77.4,216600,2.31,4,23.2,7.2,37913,54.1,14.3,45.3,5.4,3.7,Medium Risk: Older White Homeowner Communities
ashland county,wisconsin,20.4,22.9,73.4,170300,2.27,3.5,24.5,6,33580,15.3,15.9,43.3,16.3,3.2,Medium Risk: Older White Homeowner Communities
adams county,wisconsin,12.7,34.1,86.2,200800,2.14,4.2,17.5,7,35863,32,21.8,46.8,7,4.6,Medium Risk: Older White Homeowner Communities
wyoming county,west virginia,20.2,24.2,82.5,82900,2.54,0.9,13.1,9.8,24030,42.8,31.9,44.4,2.5,1,Medium Risk: Older White Homeowner Communities
wood county,west virginia,20.4,22.6,75.1,158500,2.3,1.1,24.1,7.9,34707,230,18.5,43,4.5,1.6,Medium Risk: Older White Homeowner Communities
wirt county,west virginia,21,24.3,87.8,115800,2.48,1.4,15.5,7.5,26269,22.3,17.1,45.3,3.5,0.4,Medium Risk: Older White Homeowner Communities
wetzel county,west virginia,20.7,23.9,83.2,107900,2.28,0.7,17.1,6.3,31337,40.3,22.4,44.6,2.7,1.8,Medium Risk: Older White Homeowner Communities
webster county,west virginia,19.2,26.7,77.3,76100,2.79,0.4,12.9,7.7,24990,15.1,25.1,45.9,2.2,0.9,Medium Risk: Older White Homeowner Communities
wayne county,west virginia,20.1,23.5,78.6,127100,2.41,1.3,19.2,8.1,32910,77,24.2,43.6,2.9,1,Medium Risk: Older White Homeowner Communities
upshur county,west virginia,20,22.8,80.7,170800,2.34,1.5,18.2,7.9,30013,67.2,16.4,42.8,3.4,1.6,Medium Risk: Older White Homeowner Communities
tyler county,west virginia,20,25.3,84.1,121300,2.42,1,15.9,6.6,35594,32.4,25.4,45.3,3,1.1,Medium Risk: Older White Homeowner Communities
tucker county,west virginia,14.3,29.5,80.9,154800,2.29,1.8,23.6,8.2,34950,16.1,21.1,43.8,2.5,1,Medium Risk: Older White Homeowner Communities
taylor county,west virginia,19.3,22.3,83.9,148800,2.44,0.6,20.5,8.5,32176,96.7,20.2,41.6,3.7,1.1,Medium Risk: Older White Homeowner Communities
summers county,west virginia,15.5,28.5,81.2,140100,2.32,3.5,18.8,9.3,25658,33.2,27.5,44,7.6,2.1,Medium Risk: Older White Homeowner Communities
roane county,west virginia,19.2,25,78.9,122100,2.4,1.1,15.2,10.3,27304,29,21.7,44.2,2.8,1.3,Medium Risk: Older White Homeowner Communities
ritchie county,west virginia,19.6,24.4,84.2,115900,2.43,3.4,14.4,8.5,27681,18.7,27.6,44,3,1.2,Medium Risk: Older White Homeowner Communities
randolph county,west virginia,18.1,23.3,75,144800,2.37,1.1,19.8,8.1,29069,26.9,14.8,41.4,4.4,1.2,Medium Risk: Older White Homeowner Communities
raleigh county,west virginia,20.6,22.8,75.3,150900,2.41,2.7,22.5,7.8,28797,123.2,23.4,43.4,11.4,2,Medium Risk: Older White Homeowner Communities
putnam county,west virginia,20.8,21,81.8,223300,2.45,1.5,29.1,6.2,41822,166.2,12.8,41.8,4.5,1.6,Medium Risk: Older White Homeowner Communities
preston county,west virginia,17.9,21.3,81.5,162800,2.37,2,17.5,8.6,29033,52.7,18.2,39.2,3.7,1.9,Medium Risk: Older White Homeowner Communities
pocahontas county,west virginia,17.9,29.3,83.6,152400,2.34,0.7,19.7,9.6,24646,8.4,21.5,47.2,4.3,1.8,Medium Risk: Older White Homeowner Communities
pleasants county,west virginia,18.4,20.2,81.4,151000,2.57,0.5,14.1,6.7,39036,58.8,18.3,38.6,4.2,1.3,Medium Risk: Older White Homeowner Communities
pendleton county,west virginia,18.5,30.4,84.9,183800,2.54,1.2,18.5,8.7,33377,8.8,18.8,48.9,5.5,1.3,Medium Risk: Older White Homeowner Communities
ohio county,west virginia,19.1,23.9,66.4,166000,2.15,3.7,33.9,7,38134,400.9,16.2,43,7.7,1.9,Low Risk: Educated Urban Communities
nicholas county,west virginia,19.9,25,82.2,121600,2.55,0.8,23.3,8.4,32265,38,22.2,44.9,3,1,Medium Risk: Older White Homeowner Communities
morgan county,west virginia,16.5,26.1,84.1,240600,2.35,1.8,18,8.2,36317,74.5,16.2,42.6,4.8,2,Medium Risk: Older White Homeowner Communities
monroe county,west virginia,19.9,26.2,86.9,156300,2.67,0.2,15.4,9.1,27995,26.2,21.3,46.1,4.4,1.2,Medium Risk: Older White Homeowner Communities
monongalia county,west virginia,15.9,14.3,57.9,267700,2.26,6.6,48.9,6.2,42045,293.9,12.1,30.2,10.6,3.3,Low Risk: Educated Urban Communities
mingo county,west virginia,22.3,22.2,73.4,90500,2.41,0.7,9.5,9.9,23977,55.7,32.5,44.5,3.8,1.1,Medium Risk: Older White Homeowner Communities
mineral county,west virginia,20,23.4,81,180400,2.36,1.6,23.7,5.8,38731,82.2,14.9,43.4,5.8,1.4,Medium Risk: Older White Homeowner Communities
mercer county,west virginia,21,23.5,72.9,121700,2.36,1.9,22.9,7.5,30362,142.4,22.3,44.5,9.5,1.4,Medium Risk: Older White Homeowner Communities
mcdowell county,west virginia,18.3,22.9,77.3,50000,2.44,2.4,6.8,9.6,17253,35.8,27.6,41.2,11.5,2.7,Medium Risk: Older White Homeowner Communities
mason county,west virginia,20.3,23.7,81.8,120300,2.39,0.6,16.3,7.5,29428,59.1,19.1,44,3.5,0.9,Medium Risk: Older White Homeowner Communities
marshall county,west virginia,18.5,25.2,78.4,149800,2.33,2,20.5,5.9,34200,100.2,18.5,43.7,3.5,1.2,Medium Risk: Older White Homeowner Communities
marion county,west virginia,19.6,20.6,76.7,166700,2.33,1.7,27.2,6.4,34952,182,18.6,40.2,6.6,1.8,Medium Risk: Older White Homeowner Communities
logan county,west virginia,20.9,23.3,77,103400,2.4,0.5,14.7,8.9,30056,71.8,29.1,44.2,3.3,0.9,Medium Risk: Older White Homeowner Communities
lincoln county,west virginia,21.5,22.2,74.5,105300,2.58,0.6,8.1,8.3,25319,46.8,27.4,43.7,2.4,0.9,Medium Risk: Older White Homeowner Communities
lewis county,west virginia,21.4,21.7,72.2,151800,2.37,0.7,18.9,7.1,34362,44,16.7,43.1,2.9,1.6,Medium Risk: Older White Homeowner Communities
kanawha county,west virginia,19.3,23,71.1,147300,2.27,2.3,29.7,6.7,37354,200.5,19.7,42.3,11.7,1.8,Medium Risk: Older White Homeowner Communities
jefferson county,west virginia,20.4,18.1,80.3,350800,2.55,6.9,33.9,6.7,46514,275.7,12.8,38.5,12.9,8.6,Low Risk: Educated Urban Communities
jackson county,west virginia,21.4,21.7,78.6,157200,2.39,2.2,19.6,7.2,34967,59.8,21.2,43.1,2.9,1.3,Medium Risk: Older White Homeowner Communities
harrison county,west virginia,20.8,21.3,73.6,166200,2.43,2.1,27.2,8.1,35791,158.5,16.3,42.1,5.1,2.4,Medium Risk: Older White Homeowner Communities
hardy county,west virginia,19.5,24.2,77.3,166300,2.38,4.2,15.7,8.8,29801,24.6,18.6,43.7,7.2,5.1,Medium Risk: Older White Homeowner Communities
hancock county,west virginia,17.7,25.6,74.5,130800,2.19,1.4,19.9,6.7,37064,352.2,18.5,43.3,5.9,2,Medium Risk: Older White Homeowner Communities
hampshire county,west virginia,17.8,25.7,82.7,219200,2.65,1.4,18.3,8.6,34465,36.1,25.5,43.5,3.7,2,Medium Risk: Older White Homeowner Communities
greenbrier county,west virginia,19.1,25.7,73.1,149000,2.15,3.4,22.2,7.8,31258,32.3,19.3,44.8,5.9,2.1,Medium Risk: Older White Homeowner Communities
grant county,west virginia,19.4,26,81.1,175100,2.47,1.1,14,8.4,30795,23,14.9,45.4,3.6,1.2,Medium Risk: Older White Homeowner Communities
gilmer county,west virginia,14.6,18.1,75.6,83800,2.28,4.9,18.5,8.4,20425,21.9,14.9,32.7,18,4.4,Medium Risk: Older White Homeowner Communities
fayette county,west virginia,20.3,23.8,77.7,105800,2.4,0.4,15.8,8.3,28113,61.2,22.7,44.1,6.7,1.5,Medium Risk: Older White Homeowner Communities
doddridge county,west virginia,14.2,23.7,88.8,160800,2.6,2.1,13.9,8,30062,24.4,16.3,37.9,6,1,Medium Risk: Older White Homeowner Communities
clay county,west virginia,21.7,23.7,76,109100,2.62,0,11.3,7.5,24781,23.5,23,45.4,2.7,0.9,Medium Risk: Older White Homeowner Communities
calhoun county,west virginia,18.1,27.1,87.1,100500,2.39,0.5,10.1,7.7,31472,22.3,22,45.2,2.8,1.1,Medium Risk: Older White Homeowner Communities
cabell county,west virginia,19.5,20.4,64.2,164400,2.24,3,32.6,7.6,34510,335.7,19.5,39.9,9.4,1.9,Low Risk: Educated Urban Communities
brooke county,west virginia,16.7,26.5,74.6,141500,2.16,1.6,23.4,6.5,34184,252.9,20,43.2,4.8,1.5,Medium Risk: Older White Homeowner Communities
braxton county,west virginia,18.2,25.5,76.8,117900,2.46,0.3,14.4,8.7,25639,24.4,19.1,43.7,3.4,0.8,Medium Risk: Older White Homeowner Communities
boone county,west virginia,20.4,23.4,81.3,93100,2.64,1,11.5,6.9,28780,43.5,24.4,43.8,2.3,0.8,Medium Risk: Older White Homeowner Communities
berkeley county,west virginia,22.9,15.9,76,266300,2.52,5.8,25.1,6.9,38914,380.1,13.9,38.8,14.7,7.1,Low Risk: Educated Urban Communities
barbour county,west virginia,19.8,21.6,78.3,131900,2.41,1.9,12.5,8.5,28037,45.3,16.3,41.4,4.7,1.5,Medium Risk: Older White Homeowner Communities
adams county,washington,33.8,12.3,69.1,251300,3.2,51.4,15.4,13.7,25934,10.7,9.8,46.1,13.5,65.7,Extreme Risk: Hispanic Immigrant Communities
asotin county,washington,19.3,26.6,73.6,286200,2.4,3.3,24.3,7.1,38991,35,20.6,45.9,8.2,4.9,Medium Risk: Older White Homeowner Communities
benton county,washington,25.4,16.5,68.5,369400,2.7,21.3,33,8.3,41588,121.7,14.4,41.9,11.2,27.4,Low Risk: Educated Urban Communities
chelan county,washington,22.4,21.8,63.3,454900,2.5,25.9,30.2,11.8,42092,27.1,17.8,44.2,7.3,30.4,Extreme Risk: Hispanic Immigrant Communities
clallam county,washington,15.5,33.5,72.8,385600,2.2,5.7,30.7,8.4,40133,44.4,20.7,49,14,7.3,Medium Risk: Older White Homeowner Communities
clark county,washington,21.9,17.5,66.2,487900,2.6,16.4,33,8.4,46391,800.8,13,39.4,16.8,12.9,Low Risk: Educated Urban Communities
columbia county,washington,18,30,77.9,256100,2.1,7.4,27.2,7.8,42143,4.5,19.8,48,10.4,8.4,Medium Risk: Older White Homeowner Communities
cowlitz county,washington,22.1,20.5,66.2,367400,2.5,7.8,17,8.1,36520,97,19.4,42.6,10.4,11.1,Medium Risk: Older White Homeowner Communities
douglas county,washington,23.3,19,68.4,402900,2.7,29.2,21.9,12.8,40039,23.6,17,42.3,8.8,37.4,Extreme Risk: Hispanic Immigrant Communities
ferry county,washington,17.1,31,75.6,274500,2.3,3.5,18.3,9,33322,3.3,25.1,48.1,23.9,4.5,Medium Risk: Older White Homeowner Communities
franklin county,washington,29.7,10.8,70.1,345700,3.3,50.1,20.4,13,32752,77.9,11.4,40.5,11.1,56.3,Extreme Risk: Hispanic Immigrant Communities
garfield county,washington,21.1,27,76.9,214200,2.2,3.4,26.8,7.6,34685,3.2,25.6,48.1,8.4,6.2,Medium Risk: Older White Homeowner Communities
grant county,washington,27.2,15,65.6,275700,2.8,35.6,18.2,13.7,32241,37,13.9,42.2,10.2,45.1,Extreme Risk: Hispanic Immigrant Communities
grays harbor county,washington,19.4,24.5,72.6,279500,2.5,9.4,17.6,10.8,33763,39.8,21.5,43.9,14.2,12,Medium Risk: Older White Homeowner Communities
island county,washington,16.9,28.3,74.6,535300,2.4,9.1,35.7,6.7,46226,416.6,16,45.2,16.2,9.3,Low Risk: Educated Urban Communities
jefferson county,washington,10.8,42.6,79.7,495100,2,7.3,43.3,6.8,49853,18.3,20,53.4,9.3,4.8,Medium Risk: Older White Homeowner Communities
king county,washington,18.9,14.6,56.1,811200,2.4,30.1,55.9,5.8,71062,1073,10.2,33.5,38.7,11.4,Low Risk: Educated Urban Communities
kitsap county,washington,19.2,20.7,70.1,505700,2.5,8.8,36.5,6,50367,697.6,14.5,39.9,19.1,10.1,Low Risk: Educated Urban Communities
kittitas county,washington,16.7,19,62.3,459900,2.2,7.4,35.3,7.7,41356,19.3,14.3,35.7,9,10.9,Low Risk: Educated Urban Communities
klickitat county,washington,17.7,26,75.5,388700,2.3,13.2,31.2,10.2,42193,12.1,16.2,43.7,7.8,14.2,Medium Risk: Older White Homeowner Communities
lewis county,washington,21.6,22,74.2,341500,2.6,8.8,20.2,9.1,33972,34.2,19.8,43.6,9.1,12.2,Medium Risk: Older White Homeowner Communities
lincoln county,washington,21.1,27.1,78.5,272300,2.4,4,23.7,7,38719,4.7,21.3,48.2,7.4,4.5,Medium Risk: Older White Homeowner Communities
