county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
adams county,idaho,16.1,31.5,83.1,327300,2.6,1.6,21.3,11.4,36308,3.2,15.6,47.6,6.9,5.7,Medium Risk: Older White Homeowner Communities
bannock county,idaho,24.3,16,68.6,267200,2.6,5.8,30.2,8.4,32268,78.2,15.4,40.3,10.5,10.6,Medium Risk: Older White Homeowner Communities
bear lake county,idaho,25.4,22.6,85,234200,2.8,4.7,20.3,9.7,32301,6.5,15,48,3.7,4,Medium Risk: Older White Homeowner Communities
benewah county,idaho,22,24.4,75.7,255800,2.5,3.7,19.8,14.8,31054,12.3,21.2,46.4,12.8,4.2,Medium Risk: Older White Homeowner Communities
bingham county,idaho,28.1,15.9,80.6,258000,3,13.7,20.8,11.1,31676,22.9,16.1,44,10.8,18.2,Medium Risk: Older White Homeowner Communities
blaine county,idaho,17.9,24.5,75.5,663800,2.5,23.4,45.5,14.8,51123,9.2,11.7,42.4,5.5,23,Low Risk: Educated Urban Communities
boise county,idaho,15.6,30.3,88,424100,2.3,6.1,29.9,11.1,38398,4,15.1,45.9,7.2,5.6,Medium Risk: Older White Homeowner Communities
bonner county,idaho,19.6,27,77.6,433400,2.5,3.7,28.9,14.2,37755,27.2,17.8,46.6,5.4,4.7,Medium Risk: Older White Homeowner Communities
bonneville county,idaho,28.7,14.4,71.6,327000,2.9,9.7,32.2,9.7,34508,66.4,13.7,43.1,6.2,15.2,Medium Risk: Older White Homeowner Communities
boundary county,idaho,23.2,23.4,78,344100,2.6,6.7,19.6,17.4,29672,9.5,17.9,46.6,8.8,6.1,Medium Risk: Older White Homeowner Communities
butte county,idaho,23,26.9,77.4,195800,2.6,7.7,13.8,12.2,25940,1.2,18.8,49.9,4.8,7.5,Medium Risk: Older White Homeowner Communities
camas county,idaho,21,26.1,75.8,248900,3.4,5.5,27.4,12.9,29735,1,18.4,47.1,5.6,9.9,Medium Risk: Older White Homeowner Communities
canyon county,idaho,26,14.9,75.1,350300,2.9,18.4,22.8,14.2,30761,393.7,14.9,40.9,7.8,26.6,Extreme Risk: Hispanic Immigrant Communities
caribou county,idaho,27.2,19,82,220200,2.9,4.1,15.5,12,30255,4,14.1,46.2,3.6,6,Medium Risk: Older White Homeowner Communities
cassia county,idaho,30.2,15,70,257300,3,21.1,20.9,13.2,30688,9.6,13.5,45.2,6.4,31.5,Extreme Risk: Hispanic Immigrant Communities
clark county,idaho,23.4,23.4,63.9,203000,3,28.7,17.3,21.8,22917,0.4,15.2,46.8,11.2,34.5,Extreme Risk: Hispanic Immigrant Communities
clearwater county,idaho,14.7,29.6,81.6,240800,2.3,2.9,19.4,10.1,31608,3.6,23.3,44.3,7.4,5.4,Medium Risk: Older White Homeowner Communities
custer county,idaho,17,32.5,77.7,295600,2.2,1.8,25.2,12.1,29993,0.9,27.1,49.5,4.8,5.2,Medium Risk: Older White Homeowner Communities
elmore county,idaho,24,15.6,65.3,278300,2.6,13.9,21.2,12.7,30146,9.3,16.9,39.6,13.7,18.9,Medium Risk: Older White Homeowner Communities
franklin county,idaho,29.7,14.8,75.2,304000,3,6.4,21.5,11,30698,21.4,12.2,44.5,3.7,7.9,Medium Risk: Older White Homeowner Communities
fremont county,idaho,23.2,18.5,84.2,281800,2.9,10.5,21.8,13.8,32085,7.2,17.9,41.7,4.7,13.2,Medium Risk: Older White Homeowner Communities
gem county,idaho,21.6,23.5,76.6,367300,2.7,9.2,22.3,14.1,34695,34.2,17.7,45.1,5.6,10.4,Medium Risk: Older White Homeowner Communities
gooding county,idaho,25.2,18.9,71.4,231800,2.8,28.1,17.1,17.9,29647,21.4,16.1,44.1,6.9,32.7,Extreme Risk: Hispanic Immigrant Communities
idaho county,idaho,19.8,30.2,80.1,284600,2.5,4.8,22,13.6,32073,2,16.3,50,6.7,4.3,Medium Risk: Older White Homeowner Communities
jefferson county,idaho,31.2,12.9,82.4,335000,3.2,11.1,27.2,10.1,30733,28.2,10.8,44.1,4.6,11.4,Medium Risk: Older White Homeowner Communities
jerome county,idaho,28.9,14.1,75.5,254000,3,33.7,13.4,18.4,29033,40.6,12.7,43,5.8,40.9,Extreme Risk: Hispanic Immigrant Communities
kootenai county,idaho,21.9,20.8,72.2,467400,2.5,3.5,28.8,10.5,38797,138.4,15,42.7,6.2,6.1,Medium Risk: Older White Homeowner Communities
latah county,idaho,19.2,15.2,60.6,342500,2.2,5.7,44.9,9.1,35157,36.7,12.1,34.4,8.3,5.3,Low Risk: Educated Urban Communities
lemhi county,idaho,17.8,32.4,81.3,282100,2.4,1.7,22.9,12.7,33896,1.7,22.2,50.2,4.3,4.5,Medium Risk: Older White Homeowner Communities
lewis county,idaho,20.3,30.2,74.2,202400,2.3,4.1,20,11.5,29737,7.4,24.8,50.5,13.4,4.8,Medium Risk: Older White Homeowner Communities
lincoln county,idaho,25.5,15.5,76.9,206700,2.8,25.7,11.6,15.8,28597,4.3,13.3,41,6.7,32.7,Extreme Risk: Hispanic Immigrant Communities
madison county,idaho,20.6,5.7,40.2,365000,3.5,9.9,40.3,8.7,23024,112.8,7,26.3,7,9.8,Low Risk: Educated Urban Communities
minidoka county,idaho,27.5,16.8,72.8,235300,2.8,24.7,16.8,13.9,31693,28.6,12.4,44.3,6.7,37.8,Extreme Risk: Hispanic Immigrant Communities
nez perce county,idaho,20.5,22,72.2,291300,2.4,3.5,26.8,9.1,37859,49.6,17.3,42.5,10.7,4.7,Medium Risk: Older White Homeowner Communities
oneida county,idaho,27,20.7,87.2,228100,2.4,7.2,26.2,7.8,30895,3.8,14.4,47.7,3.7,4.6,Medium Risk: Older White Homeowner Communities
owyhee county,idaho,23,19.9,70.9,281600,2.9,20.6,13.7,19.4,26059,1.6,17.7,42.9,8.7,24.9,Extreme Risk: Hispanic Immigrant Communities
payette county,idaho,24.8,20.1,74.5,310700,2.7,11,19.6,12.7,30362,62.4,16.3,44.9,6.9,18.7,Medium Risk: Older White Homeowner Communities
power county,idaho,28.3,17,74.6,191200,2.9,29,16.7,14.4,25083,5.6,14.6,45.3,9.3,35.4,Extreme Risk: Hispanic Immigrant Communities
shoshone county,idaho,20.8,23.9,73.8,222700,2.3,2.2,11.5,11.4,27965,5,22.6,44.7,6.5,4.5,Medium Risk: Older White Homeowner Communities
teton county,idaho,20.6,15.6,79.8,595900,2.6,14.6,48.3,14,46968,25.9,7.4,36.2,4.6,17.7,Low Risk: Educated Urban Communities
twin falls county,idaho,25.5,17.1,69.6,292700,2.7,14.6,23,11.8,33505,46.9,14,42.6,7.1,19.1,Medium Risk: Older White Homeowner Communities
valley county,idaho,17.7,28.3,85.8,599500,3.2,2.1,35.4,11.1,38932,3.2,11,46,4.7,6.1,Medium Risk: Older White Homeowner Communities
washington county,idaho,21.6,25.7,73.3,250300,2.6,12.9,19,10,27769,7.2,17,47.3,7.1,17.8,Medium Risk: Older White Homeowner Communities
hawaii county,hawaii,20.2,24.9,73.1,486400,2.8,25.3,30.9,4.6,38406,49.8,15.7,45.1,65.4,12.1,High Risk: Rural Minority Communities
honolulu county,hawaii,20.2,20.5,59.5,873000,2.9,26.1,37.7,3.6,46361,1692.4,12.2,40.7,78.9,9.7,Low Risk: Educated Urban Communities
kalawao county,hawaii,7.4,35.8,0,0,1.2,7,32.6,9.4,39742,6.8,26.8,43.2,63,21,High Risk: Rural Minority Communities
kauai county,hawaii,20.8,23.6,67.3,817900,3.1,18,30.2,4.1,42553,118.2,11.4,44.4,67.8,10.9,High Risk: Rural Minority Communities
maui county,hawaii,20.6,22.1,65,858600,2.9,22.2,30.1,4.6,44403,141.8,10.8,42.7,66.1,10.8,High Risk: Rural Minority Communities
worth county,georgia,21.6,21.6,73.7,104900,2.62,3.2,11.7,14,28145,36.4,18.3,43.2,32.2,2.8,High Risk: Rural Minority Communities
wilkinson county,georgia,21.9,21.3,80.5,86300,2.49,1.7,12.3,12.7,25403,19.8,16,43.2,40.2,3.7,High Risk: Rural Minority Communities
wilkes county,georgia,20,24.7,66.1,122700,2.28,6.2,16.9,15.9,32364,20.4,17.6,44.7,43.6,5.3,High Risk: Rural Minority Communities
wilcox county,georgia,18.4,20.5,74.7,87600,2.68,3,15.4,16.9,23511,23.2,14.2,38.9,38.3,4.1,High Risk: Rural Minority Communities
whitfield county,georgia,24.2,15.5,67,218000,2.78,31.5,20.2,20.5,31618,354.2,11.5,39.7,10.5,38.4,Extreme Risk: Hispanic Immigrant Communities
white county,georgia,18.9,23.9,78.8,278900,2.63,4,24,16.1,35713,116.3,16.8,42.8,5.6,4.6,Medium Risk: Older White Homeowner Communities
wheeler county,georgia,15.8,17.6,65.6,88200,3.79,4,10,17.7,16802,25.3,9.7,33.4,39.3,4.6,High Risk: Rural Minority Communities
